phase_local_peak,correction,alpha
4.303639822881462,Benjamini-Hochberg FDR,0.05
22.94338873578258,Benjamini-Hochberg FDR,0.05
20.354950642906758,Benjamini-Hochberg FDR,0.05
0.0909770453869676,Benjamini-Hochberg FDR,0.05
13.9550643286385,Benjamini-Hochberg FDR,0.05
22.423897082408907,Benjamini-Hochberg FDR,0.05
3.8477208284600053,Benjamini-Hochberg FDR,0.05
14.727319945253768,Benjamini-Hochberg FDR,0.05
1.395833087484147,Benjamini-Hochberg FDR,0.05
4.4207821968619765,Benjamini-Hochberg FDR,0.05
19.329768543236504,Benjamini-Hochberg FDR,0.05
10.562823036444213,Benjamini-Hochberg FDR,0.05
11.408591431151084,Benjamini-Hochberg FDR,0.05
22.041648139405677,Benjamini-Hochberg FDR,0.05
2.2790040256397623,Benjamini-Hochberg FDR,0.05
17.141334555607077,Benjamini-Hochberg FDR,0.05
4.24875548209042,Benjamini-Hochberg FDR,0.05
10.632675041521043,Benjamini-Hochberg FDR,0.05
0.9641007640381432,Benjamini-Hochberg FDR,0.05
3.325790779538322,Benjamini-Hochberg FDR,0.05
20.215776433031614,Benjamini-Hochberg FDR,0.05
5.443375196096278,Benjamini-Hochberg FDR,0.05
22.414181773521555,Benjamini-Hochberg FDR,0.05
2.320066043428861,Benjamini-Hochberg FDR,0.05
22.545318302254252,Benjamini-Hochberg FDR,0.05
21.756708248640592,Benjamini-Hochberg FDR,0.05
1.8731839628720182,Benjamini-Hochberg FDR,0.05
4.0235684970354555,Benjamini-Hochberg FDR,0.05
17.980101048144252,Benjamini-Hochberg FDR,0.05
3.635104696593448,Benjamini-Hochberg FDR,0.05
21.545883371493264,Benjamini-Hochberg FDR,0.05
21.68104144692636,Benjamini-Hochberg FDR,0.05
18.282991892371825,Benjamini-Hochberg FDR,0.05
21.860913307691888,Benjamini-Hochberg FDR,0.05
3.4494124802766413,Benjamini-Hochberg FDR,0.05
16.744251201366595,Benjamini-Hochberg FDR,0.05
1.6414966968527622,Benjamini-Hochberg FDR,0.05
17.515011275064865,Benjamini-Hochberg FDR,0.05
15.983663364118877,Benjamini-Hochberg FDR,0.05
3.2360474940968262,Benjamini-Hochberg FDR,0.05
17.425610389328625,Benjamini-Hochberg FDR,0.05
18.653061477690155,Benjamini-Hochberg FDR,0.05
3.6788383580895654,Benjamini-Hochberg FDR,0.05
19.351836409475172,Benjamini-Hochberg FDR,0.05
0.8904701201546388,Benjamini-Hochberg FDR,0.05
5.144290146361062,Benjamini-Hochberg FDR,0.05
0.8846289914125656,Benjamini-Hochberg FDR,0.05
2.672051386632175,Benjamini-Hochberg FDR,0.05
0.831901949948957,Benjamini-Hochberg FDR,0.05
4.1306749827774105,Benjamini-Hochberg FDR,0.05
17.565030785639177,Benjamini-Hochberg FDR,0.05
14.772836013385062,Benjamini-Hochberg FDR,0.05
22.38565065617273,Benjamini-Hochberg FDR,0.05
17.795764002980683,Benjamini-Hochberg FDR,0.05
23.15349590101708,Benjamini-Hochberg FDR,0.05
5.01193717583687,Benjamini-Hochberg FDR,0.05
11.47274869563639,Benjamini-Hochberg FDR,0.05
0.5890715412662431,Benjamini-Hochberg FDR,0.05
19.56297639654374,Benjamini-Hochberg FDR,0.05
0.8736552419869383,Benjamini-Hochberg FDR,0.05
