component,phase_local_peak,metric_label,correction,alpha
PC2,9.519027513551134,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.468011603531453,PC2,Benjamini-Hochberg FDR,0.05
PC2,3.8342921877808833,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.739309365766943,PC2,Benjamini-Hochberg FDR,0.05
PC2,21.715532794858124,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.26074422262655,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.286277240111467,PC2,Benjamini-Hochberg FDR,0.05
PC2,7.120810366917236,PC2,Benjamini-Hochberg FDR,0.05
PC2,6.014322128594171,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.012021470654673,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.31163466276653,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.377464822951078,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.367482243598422,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.594197366135512,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.384852588418733,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.578491216954616,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.438079884269834,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.425537844107428,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.735778201870016,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.266457911800869,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.221132472871975,PC2,Benjamini-Hochberg FDR,0.05
PC2,7.1032615255463885,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.383825114011325,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.746060950226587,PC2,Benjamini-Hochberg FDR,0.05
PC2,19.132694698772106,PC2,Benjamini-Hochberg FDR,0.05
PC2,18.501264015201663,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.278530050230803,PC2,Benjamini-Hochberg FDR,0.05
PC2,22.647476050185617,PC2,Benjamini-Hochberg FDR,0.05
PC2,1.9846646349447457,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.742995753661456,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.8763393022183,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.756584022225649,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.359572979997637,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.69063515889837,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.095211800503662,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.584105657045072,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.304028251949978,PC2,Benjamini-Hochberg FDR,0.05
PC2,3.278395031901696,PC2,Benjamini-Hochberg FDR,0.05
PC2,18.505819871543835,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.50749169008616,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.234039067995482,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.995115936305313,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.78598251721651,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.742442143750523,PC2,Benjamini-Hochberg FDR,0.05
PC2,4.5862811709000635,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.274594289686691,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.218844982021412,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.012802351408395,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.489774304361859,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.25866017692458,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.15106607031245,PC2,Benjamini-Hochberg FDR,0.05
PC2,20.086125776992585,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.643326199197507,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.015357555898728,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.24396310649084,PC2,Benjamini-Hochberg FDR,0.05
PC2,23.91255339242827,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.032532017080191,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.537980170819091,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.41972953706959,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.65713150423811,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.47282120456813,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.410235078570333,PC2,Benjamini-Hochberg FDR,0.05
PC2,1.2936093379908196,PC2,Benjamini-Hochberg FDR,0.05
PC2,19.031226073996507,PC2,Benjamini-Hochberg FDR,0.05
PC2,7.102522557818307,PC2,Benjamini-Hochberg FDR,0.05
PC2,18.201466430280625,PC2,Benjamini-Hochberg FDR,0.05
PC2,4.704669136255615,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.290769855631616,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.517616216451195,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.493577763583614,PC2,Benjamini-Hochberg FDR,0.05
PC2,7.767863371403149,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.307967781408813,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.189502145678899,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.390114398966324,PC2,Benjamini-Hochberg FDR,0.05
PC2,7.668634176905555,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.16589283002246,PC2,Benjamini-Hochberg FDR,0.05
PC2,2.5816669756961526,PC2,Benjamini-Hochberg FDR,0.05
PC2,19.51125868324762,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.384539307316423,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.865118686605244,PC2,Benjamini-Hochberg FDR,0.05
PC2,3.575501497544477,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.78141025124347,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.04943824589192,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.690850868095723,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.146287897222832,PC2,Benjamini-Hochberg FDR,0.05
PC2,5.489862770805176,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.358561350257364,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.40074084660183,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.439481036100958,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.522418549798182,PC2,Benjamini-Hochberg FDR,0.05
PC2,7.853183837385682,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.170271831095933,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.345131955284996,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.905602223309568,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.100158870756095,PC2,Benjamini-Hochberg FDR,0.05
PC2,0.33487410289050246,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.41473324186562,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.030825153752676,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.885549843878152,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.63741690424465,PC2,Benjamini-Hochberg FDR,0.05
PC2,18.787997516838903,PC2,Benjamini-Hochberg FDR,0.05
PC2,12.950468336353149,PC2,Benjamini-Hochberg FDR,0.05
PC2,9.187387636535478,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.226140679312802,PC2,Benjamini-Hochberg FDR,0.05
PC2,8.963476894280547,PC2,Benjamini-Hochberg FDR,0.05
PC2,11.097163862002478,PC2,Benjamini-Hochberg FDR,0.05
PC2,15.93937687368489,PC2,Benjamini-Hochberg FDR,0.05
PC2,13.121067567414126,PC2,Benjamini-Hochberg FDR,0.05
PC2,16.930428615304706,PC2,Benjamini-Hochberg FDR,0.05
PC2,10.91107732933179,PC2,Benjamini-Hochberg FDR,0.05
PC2,14.539495826004728,PC2,Benjamini-Hochberg FDR,0.05
PC2,3.8516271366088812,PC2,Benjamini-Hochberg FDR,0.05
PC2,17.30702739500727,PC2,Benjamini-Hochberg FDR,0.05
PC2,3.0941130979944376,PC2,Benjamini-Hochberg FDR,0.05
PC2,4.676876960299116,PC2,Benjamini-Hochberg FDR,0.05
