component,phase_local_peak,metric_label,correction,alpha
PC1,3.8396539859989534,PC1,Benjamini-Hochberg FDR,0.05
PC1,0.12357161912168735,PC1,Benjamini-Hochberg FDR,0.05
PC1,16.556389046237918,PC1,Benjamini-Hochberg FDR,0.05
PC1,1.4695392988816156,PC1,Benjamini-Hochberg FDR,0.05
PC1,2.6291257446494614,PC1,Benjamini-Hochberg FDR,0.05
PC1,4.925428618131129,PC1,Benjamini-Hochberg FDR,0.05
PC1,2.8974589538771856,PC1,Benjamini-Hochberg FDR,0.05
PC1,3.488774080715179,PC1,Benjamini-Hochberg FDR,0.05
PC1,2.191100610574062,PC1,Benjamini-Hochberg FDR,0.05
PC1,19.91692846661032,PC1,Benjamini-Hochberg FDR,0.05
PC1,15.45621614879783,PC1,Benjamini-Hochberg FDR,0.05
PC1,14.016173051363637,PC1,Benjamini-Hochberg FDR,0.05
PC1,20.197694157114157,PC1,Benjamini-Hochberg FDR,0.05
PC1,22.95246304094757,PC1,Benjamini-Hochberg FDR,0.05
PC1,19.97234721383451,PC1,Benjamini-Hochberg FDR,0.05
PC1,16.837931841228375,PC1,Benjamini-Hochberg FDR,0.05
PC1,22.07129317415218,PC1,Benjamini-Hochberg FDR,0.05
PC1,6.976696818326423,PC1,Benjamini-Hochberg FDR,0.05
PC1,22.66508962038095,PC1,Benjamini-Hochberg FDR,0.05
PC1,22.750639710061968,PC1,Benjamini-Hochberg FDR,0.05
PC1,3.8197120934282855,PC1,Benjamini-Hochberg FDR,0.05
PC1,19.093455539145083,PC1,Benjamini-Hochberg FDR,0.05
PC1,2.754041033684687,PC1,Benjamini-Hochberg FDR,0.05
PC1,22.579571443242436,PC1,Benjamini-Hochberg FDR,0.05
PC1,1.213065831140461,PC1,Benjamini-Hochberg FDR,0.05
PC1,14.850145267156437,PC1,Benjamini-Hochberg FDR,0.05
PC1,18.92187507198544,PC1,Benjamini-Hochberg FDR,0.05
PC1,20.408723367210875,PC1,Benjamini-Hochberg FDR,0.05
PC1,4.430410874905984,PC1,Benjamini-Hochberg FDR,0.05
PC1,20.98885884658464,PC1,Benjamini-Hochberg FDR,0.05
PC1,12.496524107140976,PC1,Benjamini-Hochberg FDR,0.05
PC1,7.627194640336412,PC1,Benjamini-Hochberg FDR,0.05
PC1,14.684827982837401,PC1,Benjamini-Hochberg FDR,0.05
PC1,6.425722957521032,PC1,Benjamini-Hochberg FDR,0.05
PC1,12.620577326459012,PC1,Benjamini-Hochberg FDR,0.05
PC1,20.72032207194387,PC1,Benjamini-Hochberg FDR,0.05
PC1,15.566732808795479,PC1,Benjamini-Hochberg FDR,0.05
PC1,17.27993532332043,PC1,Benjamini-Hochberg FDR,0.05
PC1,4.128626793985035,PC1,Benjamini-Hochberg FDR,0.05
PC1,3.6551710791059397,PC1,Benjamini-Hochberg FDR,0.05
PC1,15.99914370626006,PC1,Benjamini-Hochberg FDR,0.05
PC1,8.601756362345435,PC1,Benjamini-Hochberg FDR,0.05
PC1,10.683962470890888,PC1,Benjamini-Hochberg FDR,0.05
