platform,utc_offset_hours,utc_hour,local_hour,n_games,fraction
LA2,-3,1,22,59204,0.0664450484948744
LA2,-3,2,23,62018,0.0696032196735883
LA2,-3,3,0,61064,0.0685325390394401
LA2,-3,4,1,54967,0.0616898348188933
LA2,-3,5,2,44732,0.0502030252900601
LA2,-3,6,3,32044,0.0359631973172379
LA2,-3,7,4,22456,0.0252025202520252
LA2,-3,8,5,15540,0.0174406468078229
LA2,-3,9,6,1950,0.0021884981515607
LA2,-3,10,7,4,4.489226977560599e-06
LA2,-3,11,8,6760,0.0075867935920774
LA2,-3,12,9,11039,0.0123891441513228
LA2,-3,13,10,15531,0.0174305460471234
LA2,-3,14,11,21115,0.023697506907798
LA2,-3,15,12,26257,0.0294684081874521
LA2,-3,16,13,32789,0.0367993158418086
LA2,-3,17,14,41141,0.0461728217709551
LA2,-3,18,15,48213,0.0541097750672822
LA2,-3,19,16,52469,0.0588863125714067
LA2,-3,20,17,54554,0.0612263221334602
LA2,-3,21,18,57075,0.0640556574360678
LA2,-3,22,19,58012,0.0651072588555613
LA2,-3,23,20,57156,0.0641465642823634
NA1,-5,0,19,81998,0.0593206605878386
NA1,-5,1,20,85381,0.0617680592410821
NA1,-5,2,21,87546,0.0633343075663177
NA1,-5,3,22,90664,0.065589994530791
NA1,-5,4,23,90717,0.0656283368685451
NA1,-5,5,0,79583,0.0575735521788576
NA1,-5,6,1,66815,0.0483366659818098
NA1,-5,7,2,53508,0.0387098454442068
NA1,-5,8,3,41153,0.0297717401055065
NA1,-5,9,4,29970,0.0216815068394049
NA1,-5,10,5,23709,0.0171520469020837
NA1,-5,11,6,20693,0.0149701508517786
NA1,-5,12,7,21302,0.0154107260157825
NA1,-5,13,8,24247,0.017541257802304
NA1,-5,14,9,30475,0.0220468442085707
NA1,-5,15,10,37752,0.0273113195262333
NA1,-5,16,11,43864,0.0317329868536422
NA1,-5,17,12,50404,0.0364642866444232
NA1,-5,18,13,57432,0.0415486253186754
NA1,-5,19,14,64791,0.0468724227438066
NA1,-5,20,15,70777,0.0512029365890077
NA1,-5,21,16,74145,0.0536394836372265
NA1,-5,22,17,76527,0.0553627185151531
NA1,-5,23,18,78831,0.0570295250469512
OC1,10,0,10,21656,0.0245710058500233
OC1,10,1,11,27405,0.0310938499870655
OC1,10,2,12,32417,0.0367804902401278
OC1,10,3,13,38722,0.0439341747564003
OC1,10,4,14,45387,0.0514963170721744
OC1,10,5,15,50555,0.0573599557050208
OC1,10,6,16,54628,0.0619812018643829
OC1,10,7,17,57538,0.0652829024103548
OC1,10,8,18,58217,0.0660532992044149
OC1,10,9,19,61607,0.0698996101497224
OC1,10,10,20,64303,0.0729585052259906
OC1,10,11,21,64815,0.0735394229852819
OC1,10,12,22,62001,0.070346644519177
OC1,10,13,23,54819,0.0621979114191185
OC1,10,14,0,44638,0.0506464979282112
OC1,10,15,1,34381,0.0390088544574091
OC1,10,16,2,25652,0.029104887424492
OC1,10,17,3,18049,0.0204784856200162
OC1,10,18,4,11910,0.0135131455335139
OC1,10,19,5,8718,0.0098914863779323
OC1,10,20,6,7818,0.0088703418791781
OC1,10,21,7,8802,0.0099867931978161
OC1,10,22,8,11310,0.0128323825343444
OC1,10,23,9,16016,0.0181718336578303
