server_dir,platform,target_best_period,target_power_24,win_rate_mean,win_rate_best_period,win_rate_power_24,performance_pc1_explained,performance_pc2_explained,performance_pc3_explained,success_pc1_explained,success_pc2_explained,success_pc3_explained,success_pc1_win_rate_loading,success_pc2_win_rate_loading,success_pc3_win_rate_loading,pc1_player_periodogram_best_period,pc1_player_periodogram_valid_players,pc2_player_periodogram_best_period,pc2_player_periodogram_valid_players,deltammr_player_periodogram_best_period,deltammr_player_periodogram_valid_players,pc1_phase_players,pc1_phase_fdr_significant,pc2_phase_players,pc2_phase_fdr_significant,deltammr_phase_players,deltammr_phase_fdr_significant,pc1_circular_status,pc1_circular_preferred,pc1_circular_n,pc2_circular_status,pc2_circular_preferred,pc2_circular_n,deltammr_circular_status,deltammr_circular_preferred,deltammr_circular_n,server_n_win_games,server_top_player_games
BR1,BR1,24.048192771084334,0.0170350686328325,0.4610887391255973,24.048192771084334,0.0091106971453294,0.668248824250595,0.1805045857777174,0.070413083744472,0.6661442217275786,0.1607688930612118,0.0642391888624087,0.3394773309153127,0.0405361231579435,0.2251738400187494,23.940119760479043,1000,24.066215199398044,1000,23.940119760479043,1000,1000,98,1000,59,1000,1,fit,1-component,98,fit,1-component,59,skipped,,1,10347015.0,1233315.0
EUN1,EUN1,24.048192771084334,0.0434322188160283,0.4672222469925528,24.048192771084334,0.0028061841047925,0.586514570360929,0.214226931142491,0.1009033334666615,0.5763335378686478,0.1958436209061067,0.0921292486247747,0.325512870589447,0.1799214178026519,0.2193215022498226,24.066215199398044,1000,24.066215199398044,1000,24.02403605408112,1000,1000,112,1000,68,1000,5,fit,1-component,112,fit,1-component,68,skipped,,5,13552874.0,1256281.0
EUW1,EUW1,11.99399098647972,0.0074103676750118,0.4789477346081425,23.88035892323031,0.0094228609654068,0.6451214093633257,0.1915608398898554,0.086925969702119,0.6417780973053749,0.178844592962385,0.0808347145165675,0.3385893973184689,0.2266288498346518,0.2421205819455392,23.940119760479043,1000,24.066215199398044,1000,24.02403605408112,1000,1000,176,1000,209,1000,2,fit,2-component,176,fit,1-component,209,skipped,,2,30144773.0,1479327.0
ID1,ID1,24.048192771084334,0.0172409181016481,0.4512117794756358,24.218402426693636,0.0053077016398576,0.3693234642165345,0.2425571143211498,0.1499805810236926,0.3407786098645597,0.2192905299340283,0.1362682231094057,0.2226248752053742,-0.1755572190672426,0.2734496146690769,23.85678766782695,1000,24.151019380820543,1000,24.23642333922708,1000,1000,42,1000,1,1000,3,fit,1-component,42,skipped,,1,skipped,,3,99870.0,96870.0
JP1,JP1,24.048192771084334,0.1004865021228295,0.5063371727098084,24.048192771084334,0.0084394367259395,0.6464983690336483,0.1931772017566458,0.0752805547726288,0.5754768993550897,0.1723276438674531,0.1111183953675645,0.0369252881522728,0.078759334532757,0.9897644894408008,23.940119760479043,1000,23.940119760479043,1000,44.422222222222224,1000,1000,717,1000,765,1000,2,fit,2-component,717,fit,2-component,765,skipped,,2,12473510.0,1452567.0
LA1,LA1,24.048192771084334,0.008118790798228,0.4600812702360041,24.048192771084334,0.0016559902895196,0.542547390115966,0.218402628681498,0.1163169067511535,0.5399293395039213,0.1941005878020181,0.103426730881645,0.3438569545663852,0.0097388299226334,-0.0012390273416603,23.940119760479043,1000,23.940119760479043,1000,24.066215199398044,1000,1000,89,1000,34,1000,4,fit,1-component,89,fit,1-component,34,skipped,,4,3810079.0,972496.0
LA2,LA2,24.048192771084334,0.0062373491232448,0.4606028508125082,10.328589909443728,0.0014259204337507,0.5142784839830994,0.2438499029054867,0.1082523972767005,0.5087285220358295,0.2175967266467451,0.0968066245024371,0.3394845069733835,-0.0589839597289579,0.1127012177604294,23.940119760479043,1000,24.066215199398044,1000,23.940119760479043,1000,1000,96,1000,15,1000,1,fit,1-component,96,skipped,,15,skipped,,1,2914211.0,891022.0
NA1,NA1,11.99399098647972,0.0061033102957907,0.4832178827864062,23.88035892323031,0.0039290525610709,0.6128123251426373,0.1608871957855213,0.11862325241498,0.589575045699765,0.1480809476433014,0.1064400809643045,0.2931849525701785,0.23310423594661,0.1390487664735056,24.066215199398044,1000,24.066215199398044,1000,23.982004498875284,1000,1000,254,1000,282,1000,6,fit,1-component,254,fit,1-component,282,skipped,,6,17143667.0,1382284.0
OC1,OC1,11.99399098647972,0.0030083175140215,0.4844308989529951,20.33276740237691,0.0025471624980679,0.4205763362770898,0.2252006519896651,0.1412766028349518,0.3905699344602475,0.2080863116008694,0.1280556996831689,0.2391724993700068,0.246440868914704,0.2367867364163396,24.066215199398044,1000,24.066215199398044,1000,23.940119760479043,1000,1000,171,1000,46,1000,5,fit,1-component,171,fit,1-component,46,skipped,,5,2329934.0,881364.0
PBE1,PBE1,7.007606787595086,0.0014411092252607,0.5130411885359499,18.36809815950921,0.0013871953409233,0.3816751563549557,0.2534759980957746,0.1478235558891033,0.3474958509999287,0.2394108361118568,0.1374753660917128,0.2022404423782873,-0.288664579931288,0.2909733467134299,23.65097362583189,43,24.151019380820543,43,9.642447995176363,43,43,2,43,0,43,0,skipped,,2,skipped,,0,skipped,,0,1748.0,7738.0
TR1,TR1,24.048192771084334,0.0530176214860731,0.4683396470966047,24.048192771084334,0.0081031189724198,0.5426734960278463,0.2419346337350291,0.1112156744870875,0.5446328437126591,0.2155353614166681,0.0992729939589083,0.354408536316702,-0.050515445876637,0.0864365445713716,23.940119760479043,1000,23.898381070983813,1000,24.066215199398044,1000,1000,123,1000,72,1000,2,fit,1-component,123,fit,1-component,72,skipped,,2,8836434.0,1139717.0
