metric,n_servers,weight_col,weight_sum,weighted_mean,weighted_sd,weighted_sem,min,max
target_best_period,11,server_n_win_games,101654115.0,18.16412522139116,6.025524686840579,2.483515898595109,7.007606787595086,24.048192771084334
target_power_24,11,server_n_win_games,101654115.0,0.02825916402199025,0.03150343011677123,0.012984640113773272,0.0014411092252607,0.1004865021228295
win_rate_mean,11,server_n_win_games,101654115.0,0.47759147714242617,0.013353540787913714,0.005503874363298148,0.4512117794756358,0.5130411885359499
win_rate_best_period,11,server_n_win_games,101654115.0,23.49171707625065,2.3273397132799003,0.9592501034782234,10.328589909443728,24.218402426693636
win_rate_power_24,11,server_n_win_games,101654115.0,0.006664884543810706,0.0029658485728214696,0.0012224216920916605,0.0013871953409233,0.0094228609654068
performance_pc1_explained,11,server_n_win_games,101654115.0,0.6124588365260619,0.05148660533783344,0.021221023822283483,0.3693234642165345,0.668248824250595
performance_pc2_explained,11,server_n_win_games,101654115.0,0.196188784248369,0.02393821234493986,0.009866515205296805,0.1608871957855213,0.2534759980957746
performance_pc3_explained,11,server_n_win_games,101654115.0,0.09615851092748165,0.017972828764865688,0.007407787421028019,0.070413083744472,0.1499805810236926
success_pc1_explained,11,server_n_win_games,101654115.0,0.5964588966353133,0.05319890230367758,0.021926774268726322,0.3407786098645597,0.6661442217275786
success_pc2_explained,11,server_n_win_games,101654115.0,0.17886638941141614,0.020655915583145362,0.008513664355705797,0.1480809476433014,0.2394108361118568
success_pc3_explained,11,server_n_win_games,101654115.0,0.09273075404215497,0.015388537847983236,0.006342630789491956,0.0642391888624087,0.1374753660917128
success_pc1_win_rate_loading,11,server_n_win_games,101654115.0,0.29146649018939486,0.0978734613795941,0.0403401048074052,0.0369252881522728,0.354408536316702
success_pc2_win_rate_loading,11,server_n_win_games,101654115.0,0.14404938979064286,0.10313782145270872,0.042509894596178724,-0.288664579931288,0.246440868914704
success_pc3_win_rate_loading,11,server_n_win_games,101654115.0,0.28525797930668195,0.27097353564409565,0.11168605538043248,-0.0012390273416603,0.9897644894408008
pc1_player_periodogram_best_period,11,pc1_player_periodogram_valid_players,10043.0,23.968250890650815,0.07076474440402857,0.02228402446032342,23.65097362583189,24.066215199398044
pc1_player_periodogram_valid_players,11,pc1_player_periodogram_valid_players,10043.0,995.9025191675794,62.485996890939106,19.677022716217287,43.0,1000.0
pc2_player_periodogram_best_period,11,pc2_player_periodogram_valid_players,10043.0,24.033199741364733,0.07502021561866133,0.02362408476062856,23.898381070983813,24.151019380820543
pc2_player_periodogram_valid_players,11,pc2_player_periodogram_valid_players,10043.0,995.9025191675794,62.485996890939106,19.677022716217287,43.0,1000.0
deltammr_player_periodogram_best_period,11,deltammr_player_periodogram_valid_players,10043.0,25.99384019839815,6.20024251688107,1.9524744570157644,9.642447995176363,44.422222222222224
deltammr_player_periodogram_valid_players,11,deltammr_player_periodogram_valid_players,10043.0,995.9025191675794,62.485996890939106,19.677022716217287,43.0,1000.0
pc1_phase_players,11,pc1_phase_players,10043.0,995.9025191675794,62.485996890939106,19.677022716217287,43.0,1000.0
pc1_phase_fdr_significant,11,pc1_phase_players,10043.0,187.00448073284875,185.01829873046802,58.26280203850295,2.0,717.0
pc2_phase_players,11,pc2_phase_players,10043.0,995.9025191675794,62.485996890939106,19.677022716217287,43.0,1000.0
pc2_phase_fdr_significant,11,pc2_phase_players,10043.0,154.43592552026286,219.91074731271684,69.25053589150822,0.0,765.0
deltammr_phase_players,11,deltammr_phase_players,10043.0,995.9025191675794,62.485996890939106,19.677022716217287,43.0,1000.0
deltammr_phase_fdr_significant,11,deltammr_phase_players,10043.0,3.0867270735835906,1.7083899170341024,0.5379769688928682,0.0,6.0
pc1_circular_n,11,pc1_circular_n,1880.0,369.68297872340423,277.1247732034112,122.88847462354472,2.0,717.0
pc2_circular_n,10,pc2_circular_n,1551.0,467.58027079303673,301.7124302353717,165.6591364689897,1.0,765.0
deltammr_circular_n,10,deltammr_circular_n,31.0,4.032258064516129,1.5960408873358687,0.5756219224116267,1.0,6.0
