component,feature,n_servers,weight_col,weight_sum,weighted_mean_loading,weighted_sd_loading,min_loading,max_loading
PC1,assists_per_min,8,server_n_win_games,92720617.0,0.36637818319637805,0.02319527195325771,0.3079701825072268,0.3839194535705515
PC1,damdealt_per_min,8,server_n_win_games,92720617.0,0.4221435495144485,0.02624243492710845,0.3735561736448359,0.4944776330935349
PC1,deaths_per_min,8,server_n_win_games,92720617.0,0.22459563751283063,0.22735583361071848,-0.2728400368387153,0.4222456617835901
PC1,enemycreep_per_min,8,server_n_win_games,92720617.0,0.24233312772339435,0.21161305064588937,-0.2706942144036885,0.3963693553624878
PC1,gold_per_min,8,server_n_win_games,92720617.0,0.42174017662316077,0.04053188559196716,0.3312630170397165,0.5058769171314608
PC1,kills_per_min,8,server_n_win_games,92720617.0,0.4306694863413294,0.0184607105357817,0.3951480596518923,0.4943292701592774
PC1,neutralcreep_per_min,8,server_n_win_games,92720617.0,0.17560974332805077,0.10237642799181162,-0.0367633400866164,0.3269754076789399
PC1,timedead_fraction,8,server_n_win_games,92720617.0,0.17087433824734682,0.21178642999104416,-0.2608042535162398,0.4215172070186695
PC2,assists_per_min,8,server_n_win_games,92720617.0,-0.022102376940079063,0.15903708859162363,-0.2017683185046383,0.3227743208141022
PC2,damdealt_per_min,8,server_n_win_games,92720617.0,0.06185112658584339,0.10749545273370831,-0.1773489012964655,0.2118792826855057
PC2,deaths_per_min,8,server_n_win_games,92720617.0,-0.22089114470100812,0.46057425175434064,-0.6626622015584215,0.6827268135488701
PC2,enemycreep_per_min,8,server_n_win_games,92720617.0,0.32765888825079426,0.21374529294976308,-0.106651505490368,0.5907524094291641
PC2,gold_per_min,8,server_n_win_games,92720617.0,0.19656716251441048,0.1282565029188646,0.0118300072062546,0.4831222555507657
PC2,kills_per_min,8,server_n_win_games,92720617.0,0.08186011748239033,0.08371426082271038,0.0037982558112067,0.2595170654300741
PC2,neutralcreep_per_min,8,server_n_win_games,92720617.0,0.3375083412937693,0.23779923107787232,-0.1548172821691749,0.690369907309999
PC2,timedead_fraction,8,server_n_win_games,92720617.0,-0.2671284404299571,0.4839973388597399,-0.6884182730188023,0.6649535354268914
PC3,assists_per_min,8,server_n_win_games,92720617.0,0.28602724979796895,0.16591088444910201,-0.003558833410402,0.5901368149694715
PC3,damdealt_per_min,8,server_n_win_games,92720617.0,0.16378831962067086,0.0660768711122557,-0.082468551366836,0.2270234356185983
PC3,deaths_per_min,8,server_n_win_games,92720617.0,-0.08977589010128341,0.0542944594662502,-0.1381825487394768,0.0172830834624834
PC3,enemycreep_per_min,8,server_n_win_games,92720617.0,0.22467663661857704,0.2808427698456098,-0.6324113006246337,0.7372793059156696
PC3,gold_per_min,8,server_n_win_games,92720617.0,-0.007181021392067081,0.10218634138838617,-0.1205346735148587,0.2400677946194399
PC3,kills_per_min,8,server_n_win_games,92720617.0,0.04179793986301779,0.0429825711227671,-0.0243010310883176,0.091176862671212
PC3,neutralcreep_per_min,8,server_n_win_games,92720617.0,-0.7525504205320481,0.25513678117770494,-0.9524454525598036,0.7090475478724413
PC3,timedead_fraction,8,server_n_win_games,92720617.0,-0.22288457473839007,0.15465038708160236,-0.3687008092125564,0.1155462634530635
PC4,assists_per_min,8,server_n_win_games,92720617.0,0.5811983982783916,0.08039839365113559,0.4362316060535096,0.7648508154992717
PC4,damdealt_per_min,8,server_n_win_games,92720617.0,0.13092985611189528,0.20999327791936864,-0.1256399756413221,0.6181394699068826
PC4,deaths_per_min,8,server_n_win_games,92720617.0,-0.10392576516487864,0.1567798158954265,-0.3789150794723849,0.1634484820765746
PC4,enemycreep_per_min,8,server_n_win_games,92720617.0,-0.5136623310498714,0.27118170991174817,-0.6912577425930511,0.1313388062140765
PC4,gold_per_min,8,server_n_win_games,92720617.0,-0.08386052024790701,0.046761630804803195,-0.1436796530832725,0.0064088150683803
PC4,kills_per_min,8,server_n_win_games,92720617.0,-0.016416031150581805,0.13824333719870852,-0.3188161499586395,0.1044041453695136
PC4,neutralcreep_per_min,8,server_n_win_games,92720617.0,0.25720287124627844,0.198009777788534,-0.529794147886373,0.5614767575109298
PC4,timedead_fraction,8,server_n_win_games,92720617.0,-0.2594260361441921,0.14308294810899264,-0.5065597935474827,-0.0480677575748538
PC5,assists_per_min,8,server_n_win_games,92720617.0,0.15713608528531225,0.5073756428235966,-0.5996778984320797,0.7499198449505089
PC5,damdealt_per_min,8,server_n_win_games,92720617.0,-0.06353349808162936,0.3096429171195524,-0.595306468098124,0.4483723790407883
