metric,n_servers,skipped_servers,n_phases,status,preferred,vm1_loglik,vm2_loglik,delta_loglik_2_minus_1,likelihood_ratio,vm1_aic,vm2_aic,delta_aic_1_minus_2,vm1_bic,vm2_bic,delta_bic_1_minus_2,bootstrap_replicates,bootstrap_seed,bootstrap_lr_exceedances,bootstrap_lrt_p_value,bootstrap_lr_95pct,bootstrap_lr_max,bootstrap_exceedance_summary,vm1_peak_h,vm1_kappa,component_1_h,component_2_h,component_1_weight,component_2_weight,component_1_kappa,component_2_kappa,min_phases,reason
PC1,7,0,992,fit,1-component,-1784.891104765856,-1782.3699882185442,2.521116547311749,5.042233094623498,3573.782209531712,3574.7399764370884,-0.9577669053765021,3583.5816557462817,3599.238591973513,-15.6569362272312,1000.0,20260611.0,62.0,0.06293706293706294,5.488754804516452,12.674601968697061,62 / 1000,23.690257034083118,0.39870078742413795,2.4652739510112145,18.60738606345731,0.5631013195098191,0.4368986804901809,0.8251502849797889,0.7140353478548355,20,
PC2,6,1,704,fit,1-component,-1263.2040305853895,-1261.074448697176,2.129581888213579,4.259163776427158,2530.408061170779,2532.148897394352,-1.7408362235728418,2539.521617883095,2554.9327891751423,-15.411171292047129,1000.0,20260612.0,127.0,0.12787212787212787,6.0539962235074185,20.706319260334567,127 / 1000,12.354263479818329,0.42436558035908806,15.01257613299429,7.2029027799085785,0.568090635479336,0.431909364520664,0.8737789360516993,0.7380789212484731,20,
DeltaMMR,0,7,0,skipped,,,,,,,,,,,,,,,,,,,,,,,,,,,20,fewer than 20 pooled phases
