platform,mean_hour_local
BR1,20.58369292690767
BR1,20.76971093206057
BR1,16.045215173986982
BR1,15.341069718723478
BR1,19.66578957675781
BR1,19.167034298109552
BR1,20.373828445909
BR1,19.331529667586
BR1,22.134279707738287
BR1,0.8816407708113453
BR1,18.34659331107053
BR1,23.17818562927888
BR1,22.925541485155534
BR1,17.95980005706741
BR1,19.98533611454708
BR1,21.35725926058238
BR1,18.879341698896585
BR1,20.077203658587635
BR1,23.78364732374536
BR1,17.502058529139177
BR1,20.598671490691032
BR1,19.698747705723832
BR1,23.453894292187083
BR1,19.18797284102644
BR1,14.698327711383476
BR1,19.8216862667307
BR1,23.02729239211935
BR1,17.158102754159778
BR1,18.869482238604355
BR1,0.2009134097287783
BR1,17.947412542832648
BR1,14.886254587604828
BR1,19.301620628268854
BR1,19.07632349901288
BR1,18.71116415612749
BR1,18.359139615270223
BR1,17.58244976524431
BR1,16.76749671575804
BR1,17.68071547943712
BR1,18.54046614556733
BR1,23.191276964871893
BR1,20.892235907419707
BR1,21.66610991275382
BR1,0.9664356975369056
BR1,21.84895147865761
BR1,22.25825319626056
BR1,19.28068853387242
BR1,20.4491989712326
BR1,16.883286446229125
BR1,20.17686744364
BR1,20.90134600825776
BR1,15.25802324833442
BR1,18.13592722312293
BR1,12.061269674976312
BR1,18.996134529698576
BR1,2.81641658007653
BR1,22.258552637010023
BR1,23.16951034329302
BR1,19.42110318368529
BR1,20.366532636597377
BR1,21.274313896535848
BR1,19.338935483631744
BR1,19.618879773628564
BR1,17.542790978663948
BR1,21.27491903603548
BR1,20.92073496216417
BR1,19.98121689058344
BR1,22.173097982779307
BR1,21.350671509349347
BR1,19.15601069002713
BR1,18.3461751822587
BR1,22.599131040289524
BR1,16.56322574496504
BR1,16.53578997676779
BR1,19.03677301497955
BR1,3.962609166178634
BR1,13.405846190452108
BR1,18.94542232908272
BR1,23.39031605982544
BR1,18.53068943371946
BR1,6.787687019855711
BR1,21.551505424837792
BR1,0.3316144996562535
BR1,21.00411003855192
BR1,20.604961502751856
BR1,18.33284904608036
BR1,19.11303283126473
BR1,20.67873791576419
BR1,17.508662645048304
BR1,18.45485530008344
BR1,15.949867317974704
BR1,19.699741368690415
BR1,21.60823878190019
BR1,17.732037298966706
BR1,17.506239873325836
BR1,19.20523318211372
BR1,15.446664947904974
BR1,21.00691777894985
BR1,22.90593712716272
BR1,20.50660564601606
BR1,21.386074628737965
BR1,18.29212676416241
BR1,20.882383204030678
BR1,21.79051185293419
BR1,20.23855098128517
BR1,15.940530198034017
BR1,12.435503684876808
BR1,16.922498801774054
BR1,18.66477572195369
BR1,23.0369079139919
BR1,15.313696922349736
BR1,21.25349817324552
BR1,19.44710163725484
BR1,19.19755643630633
BR1,23.797954263329338
BR1,18.598477643427035
BR1,20.055947667560527
BR1,18.91251871271681
BR1,17.682671382726408
BR1,22.544970638622026
BR1,18.594539093442283
BR1,17.045870732998225
BR1,18.85615370326498
BR1,22.86724982895808
BR1,20.673534048206285
BR1,23.85290498528192
BR1,21.04149567188466
BR1,20.31158382043809
BR1,21.27771259540161
BR1,19.21960224091258
BR1,19.41997220786057
BR1,18.51169172864858
BR1,14.187217811552308
BR1,22.728791245962896
BR1,23.515027380356624
BR1,17.765792870309316
BR1,15.428103253296015
BR1,17.754689643307533
BR1,18.99606751740186
BR1,19.987290820470253
BR1,16.38676611167219
BR1,17.972301353859475
BR1,21.657318140622223
BR1,16.78988557479032
BR1,20.291249502322398
BR1,17.262463014975438
BR1,6.548951461570926
BR1,11.782926028861947
BR1,23.95022156759343
BR1,13.705393844816196
BR1,17.547861212930243
BR1,19.520913951727163
BR1,19.38462055658528
BR1,22.1386022389925
BR1,18.76528180038573
BR1,19.554346164528816
BR1,18.18097133313672
BR1,20.17065272813666
BR1,17.48163655338752
BR1,18.67042633654485
BR1,21.929397799385864
BR1,13.789901577640732
BR1,20.4660199469393
BR1,17.872003124371123
BR1,17.720067058238545
BR1,19.22559939494773
BR1,20.33611448264905
BR1,0.4778272171222624
BR1,23.40953063522383
BR1,18.75041148845605
BR1,14.647599320473809
BR1,19.949501985725583
BR1,19.453806125425317
BR1,21.428956174501494
BR1,14.66287460548692
BR1,20.05058981685012
BR1,18.39360243171664
BR1,19.277175325056795
BR1,1.3454786728462391
BR1,17.424376123713373
BR1,21.00620613163871
BR1,16.841040547074517
BR1,18.601482549673484
BR1,15.7287615316701
BR1,20.971642772774796
BR1,19.770794703478916
BR1,16.814976588430547
BR1,16.18347879619123
BR1,5.785102355200292
BR1,15.720465058076892
BR1,0.6830307624553058
BR1,16.064249963598193
BR1,16.912948890376867
BR1,18.934010325012203
BR1,15.751502827094876
BR1,16.38160887853668
BR1,16.39472537028403
BR1,20.80692191858474
BR1,21.2603566712128
BR1,17.748055917519956
BR1,19.77271458399343
BR1,18.810528331712494
BR1,16.7683150170856
BR1,20.94885291765641
BR1,13.880431298142891
BR1,20.06912909664133
BR1,22.15199884155817
BR1,18.15077479738407
BR1,18.007384646340558
BR1,21.43805277393296
BR1,19.966630738845407
BR1,21.5007187533557
BR1,18.36031996214805
BR1,19.192914625108973
BR1,14.47351688011173
BR1,23.513988023983387
BR1,19.313334008030463
BR1,21.225167275722377
BR1,20.46190508205252
BR1,12.643569265128976
BR1,21.294512262212145
BR1,19.54012633713627
BR1,18.132772845759757
BR1,17.696548299678323
BR1,20.10666830913927
BR1,17.91501527197881
BR1,17.209297852604614
BR1,16.744028644108703
BR1,18.31574415486708
BR1,18.441061689315973
BR1,18.86793815189276
BR1,19.47312807312656
BR1,16.677901951893062
BR1,15.945225133341037
BR1,20.465075943409445
BR1,18.406223072135788
BR1,0.8876154217015909
BR1,13.954194254266936
BR1,17.14681547821516
BR1,19.938524198825256
BR1,20.41464800889207
BR1,17.746027612985372
BR1,18.11569038332061
BR1,18.03052226875564
BR1,19.595548345647
BR1,22.10232007887959
BR1,20.016815581901582
BR1,18.572888892512875
BR1,19.306036321196025
BR1,17.511939027607088
BR1,17.644172185368063
BR1,20.626341933484063
BR1,22.339934381899905
BR1,19.99419691738422
BR1,19.594443742796347
BR1,17.951946750357845
BR1,16.291566869047497
BR1,21.09455274673076
BR1,15.340964086895193
BR1,18.4580116404657
BR1,3.659365397755093
BR1,13.073598093983406
BR1,18.59010060446063
BR1,17.713852382016206
BR1,21.17154973686863
BR1,20.160444879812708
BR1,16.90883316835033
BR1,15.530765588791596
BR1,19.78199259126027
BR1,16.618734890862243
BR1,15.372985981069496
BR1,20.282056887395672
BR1,15.802338534929332
BR1,20.65352609147905
BR1,20.69700332970716
BR1,18.129274806366503
BR1,20.408873350170214
BR1,18.059718115812444
BR1,21.78773132618669
BR1,18.874779509895973
BR1,19.72424178607791
BR1,13.270856287678097
BR1,15.206878868507554
BR1,16.26119238714749
BR1,17.547071779687503
BR1,22.911981575776203
