platform,utc_offset_hours,n_games,mean_hour_utc,mean_hour_local,peak_hour_utc,peak_hour_local,rbar
LA1,-6,972496,22.89916257905477,16.89916257905477,23,17,0.3595569579806321
NA1,-5,1382284,0.4954735489566415,19.49547354895664,4,23,0.28338837153352114
BR1,-3,1233315,21.552808545969953,18.55280854596995,23,20,0.324810363023459
LA2,-3,891022,23.06307869705798,20.06307869705798,2,23,0.37403859286506513
EUW1,1,1479327,17.193790184120623,18.193790184120623,19,20,0.33484351814560775
EUN1,2,1256281,16.30522224120214,18.30522224120214,18,20,0.34248693702660227
JP1,9,1452567,11.719575649545646,20.719575649545643,12,21,0.6468905244792846
OC1,10,881364,8.805560353344433,18.80556035334443,11,21,0.3796538162572089
