component,feature,n_servers,weight_col,weight_sum,weighted_mean_loading,weighted_sd_loading,min_loading,max_loading
PC1,assists_per_min,8,server_n_win_games,92720617.0,0.35093021956718295,0.024290259673356844,0.2967718989847485,0.3830546927849512
PC1,damdealt_per_min,8,server_n_win_games,92720617.0,0.3989119852201959,0.01882741198398854,0.3733000736486019,0.4678599700444938
PC1,deaths_per_min,8,server_n_win_games,92720617.0,0.19923638703846872,0.21345548543890958,-0.2530450210783071,0.4211826464916365
PC1,enemycreep_per_min,8,server_n_win_games,92720617.0,0.22681715280291825,0.20304356510422977,-0.2702002998766713,0.3643531185816643
PC1,gold_per_min,8,server_n_win_games,92720617.0,0.40056205726454996,0.03321912957435895,0.3317141332995107,0.5008011380587793
PC1,kills_per_min,8,server_n_win_games,92720617.0,0.4072659956145279,0.018103679965326597,0.3680075983365856,0.4719300943938703
PC1,neutralcreep_per_min,8,server_n_win_games,92720617.0,0.1666993019533406,0.09560956563245077,-0.036201392868282,0.3003549666045096
PC1,timedead_fraction,8,server_n_win_games,92720617.0,0.14576254091902394,0.20064705312735442,-0.242285900229878,0.4203347706653263
PC1,win_rate,8,server_n_win_games,92720617.0,0.31739840981006806,0.10916623441976553,0.0432020439487871,0.3836974413521504
PC2,assists_per_min,8,server_n_win_games,92720617.0,-0.028813832035782267,0.15874881877764227,-0.197205689446149,0.3210621610859386
PC2,damdealt_per_min,8,server_n_win_games,92720617.0,0.02977112085312067,0.1074919378683074,-0.1763889186756587,0.207864607364213
PC2,deaths_per_min,8,server_n_win_games,92720617.0,-0.24240688046398184,0.47007390534098414,-0.6652165529120763,0.6723889028618555
PC2,enemycreep_per_min,8,server_n_win_games,92720617.0,0.28287615366016966,0.1959801914233448,-0.0871023761620099,0.5206687161639372
PC2,gold_per_min,8,server_n_win_games,92720617.0,0.1585627361232672,0.13983958155748025,0.0117368058325773,0.4824794170372547
PC2,kills_per_min,8,server_n_win_games,92720617.0,0.04969970004709862,0.105691998969517,-0.0593199644691125,0.2642245619139612
PC2,neutralcreep_per_min,8,server_n_win_games,92720617.0,0.29503165186721475,0.22804405448390513,-0.1325923118096006,0.6879371101073654
PC2,timedead_fraction,8,server_n_win_games,92720617.0,-0.28861874810331783,0.4932762982401212,-0.6880597683378474,0.6551576195064048
PC2,win_rate,8,server_n_win_games,92720617.0,0.1701763871068557,0.10198944744414525,-0.1115207211863472,0.3042723697640067
PC3,assists_per_min,8,server_n_win_games,92720617.0,0.30717437877768733,0.1366116913321038,0.0969201902855644,0.5693889274210951
PC3,damdealt_per_min,8,server_n_win_games,92720617.0,0.10570569861323757,0.06162826819963422,-0.1311365539509111,0.172443289761083
PC3,deaths_per_min,8,server_n_win_games,92720617.0,-0.08554541848214181,0.06078605804472918,-0.1217147548730173,0.0477367798643988
PC3,enemycreep_per_min,8,server_n_win_games,92720617.0,0.04073804768791299,0.18959874299742643,-0.7205889345670493,0.3253981401719225
PC3,gold_per_min,8,server_n_win_games,92720617.0,-0.0751342503632407,0.0351011975086168,-0.1478131960116155,-0.0098166883295971
PC3,kills_per_min,8,server_n_win_games,92720617.0,0.022208451035371182,0.029825663285801537,-0.0300887132624482,0.0653598439163487
PC3,neutralcreep_per_min,8,server_n_win_games,92720617.0,-0.698920505186022,0.3305659248341874,-0.95564884447034,0.4520191327182006
PC3,timedead_fraction,8,server_n_win_games,92720617.0,-0.23825633218801578,0.08282770724048556,-0.3366433115625907,-0.0118524134844439
PC3,win_rate,8,server_n_win_games,92720617.0,0.27240061921705194,0.2820227449596609,0.052518616396739,0.9761060239919198
PC4,assists_per_min,8,server_n_win_games,92720617.0,0.41600451022658463,0.1721271651857377,-0.003634735920434,0.6400651748216738
PC4,damdealt_per_min,8,server_n_win_games,92720617.0,-0.006636167433579745,0.10475571039532694,-0.1594746214896051,0.2186214176924213
PC4,deaths_per_min,8,server_n_win_games,92720617.0,-0.03174573091100371,0.10339285123133414,-0.179379688666171,0.177231280876112
PC4,enemycreep_per_min,8,server_n_win_games,92720617.0,-0.48348536243367507,0.49455558832116087,-0.7496805249755915,0.7372798571770245
PC4,gold_per_min,8,server_n_win_games,92720617.0,-0.0731770431988852,0.12592172969192889,-0.1546782765240084,0.2400505058150665
PC4,kills_per_min,8,server_n_win_games,92720617.0,-0.027219265594788062,0.051186021924873704,-0.1438211631306508,0.012517784665618
PC4,neutralcreep_per_min,8,server_n_win_games,92720617.0,0.13326009891264423,0.3610778606827786,-0.7741514155394243,0.5741728600308067
PC4,timedead_fraction,8,server_n_win_games,92720617.0,-0.15140096127882738,0.13777778753804704,-0.3630149073786153,0.1156244944017434
PC4,win_rate,8,server_n_win_games,92720617.0,0.25394046967483774,0.1309779517414047,-0.0003319311046867,0.4377110843532572
PC5,assists_per_min,8,server_n_win_games,92720617.0,0.04459611026993955,0.3686379285988913,-0.4554598295187021,0.4530182319049903
PC5,damdealt_per_min,8,server_n_win_games,92720617.0,-0.05548860126792388,0.3813603267587782,-0.4224416394354526,0.6286840948800619
PC5,deaths_per_min,8,server_n_win_games,92720617.0,-0.14318852857830672,0.21144956972346568,-0.5267571768856754,0.1272695139443597
PC5,enemycreep_per_min,8,server_n_win_games,92720617.0,0.005453675288689442,0.09711260680346522,-0.2298625839302726,0.1339489462719009
