platform,metric,local_hour,density,n_phases,kappa,min_phases
BR1,PC1,9.0,0.032846933924374454,98,4.0,20
BR1,PC1,9.1,0.0327512612250938,98,4.0,20
BR1,PC1,9.200000000000001,0.03267538542174604,98,4.0,20
BR1,PC1,9.3,0.032618341422190514,98,4.0,20
BR1,PC1,9.4,0.0325791046320822,98,4.0,20
BR1,PC1,9.5,0.032556608526335816,98,4.0,20
BR1,PC1,9.600000000000001,0.032549762068177925,98,4.0,20
BR1,PC1,9.700000000000001,0.03255746656626177,98,4.0,20
BR1,PC1,9.8,0.032578631587053014,98,4.0,20
BR1,PC1,9.9,0.032612189576620876,98,4.0,20
BR1,PC1,10.0,0.03265710889137574,98,4.0,20
BR1,PC1,10.100000000000001,0.03271240498933718,98,4.0,20
BR1,PC1,10.200000000000001,0.03277714959031685,98,4.0,20
BR1,PC1,10.3,0.0328504776731098,98,4.0,20
BR1,PC1,10.4,0.032931592238658346,98,4.0,20
BR1,PC1,10.5,0.0330197668285715,98,4.0,20
BR1,PC1,10.600000000000001,0.03311434584691414,98,4.0,20
BR1,PC1,10.700000000000001,0.03321474278856751,98,4.0,20
BR1,PC1,10.8,0.03332043652864001,98,4.0,20
BR1,PC1,10.9,0.03343096587348448,98,4.0,20
BR1,PC1,11.0,0.03354592261412291,98,4.0,20
BR1,PC1,11.100000000000001,0.03366494335670259,98,4.0,20
BR1,PC1,11.200000000000001,0.033787700431530385,98,4.0,20
BR1,PC1,11.3,0.033913892201881006,98,4.0,20
BR1,PC1,11.4,0.034043233105851924,98,4.0,20
BR1,PC1,11.5,0.03417544376882793,98,4.0,20
BR1,PC1,11.600000000000001,0.034310241520481066,98,4.0,20
BR1,PC1,11.700000000000001,0.034447331638612015,98,4.0,20
BR1,PC1,11.8,0.03458639962258836,98,4.0,20
BR1,PC1,11.9,0.03472710477182716,98,4.0,20
BR1,PC1,12.0,0.03486907531002744,98,4.0,20
BR1,PC1,12.100000000000001,0.03501190525418177,98,4.0,20
BR1,PC1,12.200000000000001,0.03515515317947949,98,4.0,20
BR1,PC1,12.3,0.035298342977962215,98,4.0,20
BR1,PC1,12.4,0.03544096665132868,98,4.0,20
BR1,PC1,12.5,0.035582489117945405,98,4.0,20
BR1,PC1,12.600000000000001,0.035722354952428426,98,4.0,20
BR1,PC1,12.700000000000001,0.035859996914809414,98,4.0,20
BR1,PC1,12.8,0.03599484606708874,98,4.0,20
BR1,PC1,12.9,0.036126343219769486,98,4.0,20
BR1,PC1,13.0,0.03625395140161174,98,4.0,20
BR1,PC1,13.100000000000001,0.03637716900411344,98,4.0,20
BR1,PC1,13.200000000000001,0.03649554321972097,98,4.0,20
BR1,PC1,13.3,0.03660868337087641,98,4.0,20
BR1,PC1,13.4,0.03671627371679062,98,4.0,20
BR1,PC1,13.5,0.036818085327005416,98,4.0,20
BR1,PC1,13.600000000000001,0.036913986625679046,98,4.0,20
BR1,PC1,13.700000000000001,0.03700395223796759,98,4.0,20
BR1,PC1,13.8,0.03708806980930498,98,4.0,20
BR1,PC1,13.9,0.037166544518792394,98,4.0,20
BR1,PC1,14.0,0.03723970106787291,98,4.0,20
BR1,PC1,14.100000000000001,0.037307982993201066,98,4.0,20
BR1,PC1,14.200000000000001,0.037371949226037225,98,4.0,20
BR1,PC1,14.3,0.037432267897289415,98,4.0,20
BR1,PC1,14.4,0.037489707465043064,98,4.0,20
BR1,PC1,14.5,0.03754512531756344,98,4.0,20
BR1,PC1,14.600000000000001,0.03759945407687509,98,4.0,20
BR1,PC1,14.700000000000001,0.03765368589380148,98,4.0,20
BR1,PC1,14.8,0.037708855082690874,98,4.0,20
BR1,PC1,14.9,0.03776601949116123,98,4.0,20
BR1,PC1,15.0,0.037826241035626124,98,4.0,20
BR1,PC1,15.100000000000001,0.037890565856076634,98,4.0,20
BR1,PC1,15.200000000000001,0.037960004552990464,98,4.0,20
BR1,PC1,15.3,0.03803551296517044,98,4.0,20
BR1,PC1,15.4,0.038117973930076605,98,4.0,20
BR1,PC1,15.5,0.03820818043854167,98,4.0,20
BR1,PC1,15.600000000000001,0.03830682055477375,98,4.0,20
BR1,PC1,15.700000000000001,0.03841446442173124,98,4.0,20
BR1,PC1,15.8,0.038531553613074795,98,4.0,20
BR1,PC1,15.9,0.03865839302795748,98,4.0,20
BR1,PC1,16.0,0.03879514545606037,98,4.0,20
BR1,PC1,16.1,0.03894182886974688,98,4.0,20
BR1,PC1,16.2,0.03909831643022761,98,4.0,20
BR1,PC1,16.3,0.03926433912735381,98,4.0,20
BR1,PC1,16.400000000000002,0.03943949091010105,98,4.0,20
BR1,PC1,16.5,0.0396232361087616,98,4.0,20
