metric,platform,phase_local_peak
PC1,BR1,15.365499467782886
PC1,BR1,6.6345387450502304
PC1,BR1,17.350149397268986
PC1,BR1,21.882125713338457
PC1,BR1,4.2191239939679015
PC1,BR1,9.872122688066227
PC1,BR1,0.97611979489955
PC1,BR1,10.319562110068045
PC1,BR1,21.149768791258296
PC1,BR1,23.227697257082685
PC1,BR1,22.971365758504103
PC1,BR1,13.767983104226063
PC1,BR1,12.127705210288982
PC1,BR1,4.807691868493679
PC1,BR1,19.176512545003817
PC1,BR1,18.486030941769588
PC1,BR1,0.9332350317866812
PC1,BR1,3.9857743153092544
PC1,BR1,5.983081834240949
PC1,EUN1,14.538046102772432
PC1,EUN1,3.501570716850603
PC1,EUN1,17.550006188420923
PC1,EUN1,15.255285442767772
PC1,EUN1,5.140018641796319
PC1,EUN1,4.088898285155182
PC1,EUN1,12.743442520172415
PC1,EUN1,0.2067221358335977
PC1,EUN1,7.090065534118791
PC1,EUN1,16.152038216321966
PC1,EUN1,16.709544860651334
PC1,EUN1,18.273983237131915
PC1,EUN1,20.942362088384048
PC1,EUN1,12.739232872126372
PC1,EUN1,0.1562684382986745
PC1,EUN1,8.845394793919542
PC1,EUN1,11.675340151587196
PC1,EUN1,5.164889024007403
PC1,EUN1,19.66858718625316
PC1,EUN1,18.71030273124822
PC1,EUN1,22.70189274085005
PC1,EUN1,0.905045045096564
PC1,EUN1,20.81276718472917
PC1,EUN1,13.688914904197125
PC1,EUN1,21.44142706499169
PC1,EUN1,4.274168808946346
PC1,EUN1,22.757258531452123
PC1,EUN1,21.242217015957547
PC1,EUN1,17.23312540204989
PC1,EUN1,20.197849031385747
PC1,EUN1,0.5083668314249934
PC1,EUN1,3.3295111976082588
PC1,EUN1,15.33124375630847
PC1,EUN1,19.981859893360514
PC1,EUN1,20.042987817620546
PC1,EUN1,5.676549907741327
PC1,EUN1,16.558054152708248
PC1,EUN1,23.829105836239627
PC1,EUN1,17.12146922439318
PC1,EUN1,22.735908341483384
PC1,EUN1,6.65717055723547
PC1,EUN1,7.65390458016958
PC1,EUN1,23.14479754135933
PC1,EUN1,19.604803571458127
PC1,EUN1,20.12978709197567
PC1,EUN1,12.052537665308709
PC1,EUN1,19.97083070341693
PC1,EUN1,6.022775646638752
PC1,EUN1,7.862183948766454
PC1,EUN1,5.930877351968705
PC1,EUN1,22.35510865460499
PC1,EUN1,15.65391334262
PC1,EUN1,20.10100167858536
PC1,EUN1,15.959849983945857
PC1,EUN1,23.23048224568536
PC1,EUN1,19.001458168892952
PC1,EUN1,23.59590447470888
PC1,EUN1,8.680601778563195
PC1,EUN1,4.418532317472651
PC1,EUN1,5.722285389929014
PC1,EUN1,19.551765885578604
PC1,EUN1,14.140600802514149
PC1,EUN1,23.5303602636481
PC1,EUN1,5.9909048246639305
PC1,EUN1,0.8224929719898597
PC1,EUN1,17.08750962377259
PC1,EUN1,13.678100978200622
PC1,EUN1,22.925601608605763
PC1,EUN1,17.839387329461147
PC1,EUN1,3.073484658200436
PC1,EUN1,22.26030199539492
PC1,EUN1,20.701845281412403
PC1,EUN1,22.54643389255729
PC1,EUN1,21.357990887157627
PC1,EUN1,4.003488999787725
PC1,EUN1,20.93776210078154
PC1,EUN1,3.389774326621463
PC1,EUN1,23.07196706877752
PC1,EUN1,20.144005812320785
PC1,EUN1,15.055616136603456
PC1,EUN1,19.00582098990917
PC1,EUN1,21.952233915029367
PC1,EUN1,6.131680769054813
PC1,EUN1,8.714795347204099
PC1,EUN1,0.6484992985303251
PC1,EUN1,7.2547303929407585
PC1,EUN1,18.671265328406854
PC1,EUN1,6.6959299094194185
PC1,EUN1,1.830209209684007
PC1,EUN1,22.84446228390291
PC1,EUN1,7.980999217627071
PC1,EUN1,16.514317738556784
PC1,EUN1,8.313372548186363
PC1,EUN1,9.902077834484963
PC1,EUN1,14.412228416654042
PC1,EUN1,19.973827488283355
PC1,EUN1,1.6022308722562355
PC1,EUN1,21.099741027333472
PC1,EUN1,21.839635725521223
