metric,local_hour,n_servers,weight_col,weight_sum,total_phases,weighted_density,weighted_sd_density,weighted_sem_density,kappa,min_phases
PC1,0.0,7,n_phases,992.0,992,0.05584906007298327,0.006789210618849793,0.002761994597567627,4.0,20
PC1,0.1,7,n_phases,992.0,992,0.055798274558322244,0.006715482932707872,0.0027320006141360676,4.0,20
PC1,0.2,7,n_phases,992.0,992,0.055732266957464915,0.006660915323586849,0.00270980135562787,4.0,20
PC1,0.30000000000000004,7,n_phases,992.0,992,0.05565183210602198,0.006628701798741188,0.0026966962118066874,4.0,20
PC1,0.4,7,n_phases,992.0,992,0.05555784479142441,0.006621553251780799,0.002693788031578748,4.0,20
PC1,0.5,7,n_phases,992.0,992,0.055451248638760074,0.00664151463919721,0.0027019087465335926,4.0,20
PC1,0.6000000000000001,7,n_phases,992.0,992,0.05533304399184562,0.006689818065761056,0.0027215596029738,4.0,20
PC1,0.7000000000000001,7,n_phases,992.0,992,0.05520427491861192,0.006766793386991358,0.0027528747931070746,4.0,20
PC1,0.8,7,n_phases,992.0,992,0.0550660154865493,0.006871849352443987,0.0027956137837368234,4.0,20
PC1,0.9,7,n_phases,992.0,992,0.05491935547086751,0.007003525983851762,0.002849182624798318,4.0,20
PC1,1.0,7,n_phases,992.0,992,0.05476538567474878,0.007159606635791921,0.0029126795380103854,4.0,20
PC1,1.1,7,n_phases,992.0,992,0.054605183057046196,0.007337269739833345,0.0029849566496067026,4.0,20
PC1,1.2000000000000002,7,n_phases,992.0,992,0.05443979587732619,0.007533257490032949,0.0030646886151665586,4.0,20
PC1,1.3,7,n_phases,992.0,992,0.054270229080518824,0.007744041245016494,0.0031504399086826527,4.0,20
PC1,1.4000000000000001,7,n_phases,992.0,992,0.05409743015281528,0.007965969148687389,0.003240724877790352,4.0,20
PC1,1.5,7,n_phases,992.0,992,0.05392227568603922,0.008195388019854958,0.0033340573310487016,4.0,20
PC1,1.6,7,n_phases,992.0,992,0.05374555888875478,0.008428737175545811,0.0034289887072495914,4.0,20
PC1,1.7000000000000002,7,n_phases,992.0,992,0.05356797827820015,0.008662615734347382,0.0035241354558426226,4.0,20
PC1,1.8,7,n_phases,992.0,992,0.05339012777722165,0.008893827073165252,0.0036181971228850755,4.0,20
PC1,1.9000000000000001,7,n_phases,992.0,992,0.05321248842438812,0.009119404876816872,0.003709966948568065,4.0,20
PC1,2.0,7,n_phases,992.0,992,0.053035421883259076,0.009336625122486467,0.00379833674274649,4.0,20
PC1,2.1,7,n_phases,992.0,992,0.052859165908467155,0.009543007804833139,0.003882297586749529,4.0,20
PC1,2.2,7,n_phases,992.0,992,0.05268383189222296,0.009736311524363389,0.003960937631816025,4.0,20
PC1,2.3000000000000003,7,n_phases,992.0,992,0.052509404575668286,0.009914523398763227,0.004033437994810824,4.0,20
PC1,2.4000000000000004,7,n_phases,992.0,992,0.052335743966055,0.010075846190395352,0.004099067521418137,4.0,20
PC1,2.5,7,n_phases,992.0,992,0.052162589454088686,0.010218684093239942,0.004157177003968184,4.0,20
PC1,2.6,7,n_phases,992.0,992,0.05198956607721689,0.010341628280175194,0.004207193301764973,4.0,20
PC1,2.7,7,n_phases,992.0,992,0.05181619282556772,0.010443443055873448,0.004248613707791319,4.0,20
PC1,2.8000000000000003,7,n_phases,992.0,992,0.05164189283915675,0.010523053269002566,0.004281000827725902,4.0,20
PC1,2.9000000000000004,7,n_phases,992.0,992,0.05146600529940653,0.010579533489966266,0.004303978177218941,4.0,20
PC1,3.0,7,n_phases,992.0,992,0.05128779877646721,0.01061209934181054,0.004317226655121415,4.0,20
PC1,3.1,7,n_phases,992.0,992,0.05110648575770084,0.010620101271731595,0.004320482009602642,4.0,20
PC1,3.2,7,n_phases,992.0,992,0.05092123805325691,0.010603020962761719,0.004313533378348133,4.0,20
PC1,3.3000000000000003,7,n_phases,992.0,992,0.050731202752987724,0.010560470507189876,0.004296222952289591,4.0,20
PC1,3.4000000000000004,7,n_phases,992.0,992,0.05053551839584164,0.010492194395401389,0.0042684467847069925,4.0,20
PC1,3.5,7,n_phases,992.0,992,0.05033333100886286,0.010398074318494377,0.004230156745034625,4.0,20
PC1,3.6,7,n_phases,992.0,992,0.050123809678244285,0.010278136744148084,0.004181363600884687,4.0,20
PC1,3.7,7,n_phases,992.0,992,0.04990616132943111,0.01013256320773659,0.004122141204690198,4.0,20
PC1,3.8000000000000003,7,n_phases,992.0,992,0.04967964441664732,0.009961703270303353,0.0040526317652833386,4.0,20
PC1,3.9000000000000004,7,n_phases,992.0,992,0.04944358125370331,0.009766090137992593,0.003973052202210786,4.0,20
PC1,4.0,7,n_phases,992.0,992,0.04919736875655002,0.009546459020544835,0.003883701614358318,4.0,20
PC1,4.1000000000000005,7,n_phases,992.0,992,0.04894048741254668,0.009303768436364485,0.0037849699473033013,4.0,20
PC1,4.2,7,n_phases,992.0,992,0.04867250834038547,0.009039224854928895,0.003677348018368347,4.0,20
PC1,4.3,7,n_phases,992.0,992,0.04839309835650947,0.008754311308495565,0.003561439156469464,4.0,20
PC1,4.4,7,n_phases,992.0,992,0.04810202301703322,0.008450820903312723,0.0034379728351859105,4.0,20
PC1,4.5,7,n_phases,992.0,992,0.04779914765697215,0.008130896501915116,0.0033078208163581386,4.0,20
PC1,4.6000000000000005,7,n_phases,992.0,992,0.047484436499394746,0.007797078190006802,0.003172016460620518,4.0,20
PC1,4.7,7,n_phases,992.0,992,0.04715794995441655,0.007452360382351973,0.003031777959286574,4.0,20
PC1,4.800000000000001,7,n_phases,992.0,992,0.04681984027039324,0.007100260345461335,0.0028885362108283324,4.0,20
PC1,4.9,7,n_phases,992.0,992,0.04647034573607987,0.006744899092078174,0.0027439677304656723,4.0,20
PC1,5.0,7,n_phases,992.0,992,0.046109783661969016,0.006391093241901716,0.0026000320210531466,4.0,20
PC1,5.1000000000000005,7,n_phases,992.0,992,0.04573854239083073,0.00604445120180677,0.002459010701229331,4.0,20
PC1,5.2,7,n_phases,992.0,992,0.04535707260125233,0.005711456904284174,0.002323541571987019,4.0,20
PC1,5.300000000000001,7,n_phases,992.0,992,0.04496587817359196,0.005399507117645372,0.0021966337952542487,4.0,20
PC1,5.4,7,n_phases,992.0,992,0.04456550688536859,0.005116843388847124,0.002081640206794719,4.0,20
PC1,5.5,7,n_phases,992.0,992,0.044156541193109765,0.0048722927323915964,0.001982151822963107,4.0,20
PC1,5.6000000000000005,7,n_phases,992.0,992,0.04373958934070186,0.004674721892336575,0.001901775822938333,4.0,20
PC1,5.7,7,n_phases,992.0,992,0.0433152770111552,0.004532155337957008,0.001843776730687914,4.0,20
PC1,5.800000000000001,7,n_phases,992.0,992,0.04288423971039045,0.004450641347463116,0.0018106151138211136,4.0,20
PC1,5.9,7,n_phases,992.0,992,0.04244711603926531,0.004433147744456336,0.001803498345803552,4.0,20
PC1,6.0,7,n_phases,992.0,992,0.042004541974754124,0.004478896130127568,0.0018221097575221046,4.0,20
PC1,6.1000000000000005,7,n_phases,992.0,992,0.04155714624415668,0.004583439295063065,0.0018646401300462352,4.0,20
PC1,6.2,7,n_phases,992.0,992,0.0411055468386195,0.0047394598094315805,0.001928112578021132,4.0,20
PC1,6.300000000000001,7,n_phases,992.0,992,0.04065034867522487,0.004937953803501652,0.0020088641366410704,4.0,20
PC1,6.4,7,n_phases,992.0,992,0.04019214238147583,0.00516938652700252,0.0021030158676589627,4.0,20
PC1,6.5,7,n_phases,992.0,992,0.03973150414310463,0.005424553999738102,0.002206823397096024,4.0,20
