metric,n_servers,weight_col,weight_sum,total_valid_players,weighted_best_period,weighted_sd_best_period,weighted_sem_best_period,weighted_best_power
PC1,11,valid_players,10043.0,10043,23.968250890650815,0.07076474440402857,0.02228402446032342,0.016530425122667107
PC2,11,valid_players,10043.0,10043,24.033199741364733,0.07502021561866133,0.02362408476062856,0.01476150503657244
DeltaMMR,9,valid_players,9000.0,9000,24.024365514055315,0.08916777396501499,0.029722591321671665,0.007789959283831822
